household_id,household_name,address_id,created_at,updated_at,is_deleted
1,The Doe Residence,1,2024-08-12 02:00:00,2024-08-12 02:00:00,FALSE
2,Smith Family Home,2,2024-08-12 03:00:00,2024-08-12 03:00:00,FALSE
3,Green Villa,3,2024-08-12 04:00:00,2024-08-12 04:00:00,FALSE
4,The White House,4,2024-08-12 05:00:00,2024-08-12 05:00:00,FALSE
5,Lopez Estate,5,2024-08-12 06:00:00,2024-08-12 06:00:00,FALSE
6,Clark Manor,6,2024-08-12 07:00:00,2024-08-12 07:00:00,FALSE
7,Perez Penthouse,7,2024-08-12 08:00:00,2024-08-12 08:00:00,FALSE
8,Mitchell Cottage,8,2024-08-12 09:00:00,2024-08-12 09:00:00,FALSE
9,Blackwood Lodge,9,2024-08-12 10:00:00,2024-08-12 10:00:00,FALSE
10,Jones House,10,2024-08-12 11:00:00,2024-08-12 11:00:00,FALSE
11,Kelly Creek,11,2024-08-12 12:00:00,2024-08-12 12:00:00,FALSE
12,Williams Farm,12,2024-08-12 13:00:00,2024-08-12 13:00:00,FALSE
13,Brownstone,13,2024-08-12 14:00:00,2024-08-12 14:00:00,FALSE
14,Dixon Ranch,14,2024-08-12 15:00:00,2024-08-12 15:00:00,FALSE
15,Edwards Estates,15,2024-08-12 16:00:00,2024-08-12 16:00:00,FALSE
16,Johnson House,16,2024-08-12 17:00:00,2024-08-12 17:00:00,FALSE
17,Davis Hilltop,17,2024-08-12 18:00:00,2024-08-12 18:00:00,FALSE
18,Taylor Townhouse,18,2024-08-12 19:00:00,2024-08-12 19:00:00,FALSE
19,Harris Haven,19,2024-08-12 20:00:00,2024-08-12 20:00:00,FALSE
20,Wilson Grove,20,2024-08-12 21:00:00,2024-08-12 21:00:00,FALSE
21,Martinez Mansion,21,2024-08-12 22:00:00,2024-08-12 22:00:00,FALSE
22,Anderson Place,22,2024-08-12 23:00:00,2024-08-12 23:00:00,FALSE
23,Thomas Heights,23,2024-08-13 00:00:00,2024-08-13 00:00:00,FALSE
24,Whitewood,24,2024-08-13 01:00:00,2024-08-13 01:00:00,FALSE
25,Nguyen Home,25,2024-08-13 02:00:00,2024-08-13 02:00:00,FALSE
26,Patel Palace,26,2024-08-13 03:00:00,2024-08-13 03:00:00,FALSE
27,Roberts Ridge,27,2024-08-13 04:00:00,2024-08-13 04:00:00,FALSE
28,Murphy Meadows,28,2024-08-13 05:00:00,2024-08-13 05:00:00,FALSE
29,Hughes Haven,29,2024-08-13 06:00:00,2024-08-13 06:00:00,FALSE
30,Walker Woods,30,2024-08-13 07:00:00,2024-08-13 07:00:00,FALSE
31,Foster Flats,31,2024-08-13 08:00:00,2024-08-13 08:00:00,FALSE
32,Bryant Bay,32,2024-08-13 09:00:00,2024-08-13 09:00:00,FALSE
33,Jenkins Junction,33,2024-08-13 10:00:00,2024-08-13 10:00:00,FALSE
34,Reed Retreat,34,2024-08-13 11:00:00,2024-08-13 11:00:00,FALSE
35,Carter Corner,35,2024-08-13 12:00:00,2024-08-13 12:00:00,FALSE
36,Butler Base,36,2024-08-13 13:00:00,2024-08-13 13:00:00,FALSE
37,Barnes Boulevard,37,2024-08-13 14:00:00,2024-08-13 14:00:00,FALSE
38,Foster Fortress,38,2024-08-13 15:00:00,2024-08-13 15:00:00,FALSE
39,Griffin Gardens,39,2024-08-13 16:00:00,2024-08-13 16:00:00,FALSE
40,Woodland Waters,40,2024-08-13 17:00:00,2024-08-13 17:00:00,FALSE
41,Knight's Keep,41,2024-08-13 18:00:00,2024-08-13 18:00:00,FALSE
42,Price Place,42,2024-08-13 19:00:00,2024-08-13 19:00:00,FALSE
43,King's Castle,43,2024-08-13 20:00:00,2024-08-13 20:00:00,FALSE
44,Scott's Sanctuary,44,2024-08-13 21:00:00,2024-08-13 21:00:00,FALSE
45,Bellwood Bungalow,45,2024-08-13 22:00:00,2024-08-13 22:00:00,FALSE
46,Young Yard,46,2024-08-13 23:00:00,2024-08-13 23:00:00,FALSE
47,Cook Cabin,47,2024-08-14 00:00:00,2024-08-14 00:00:00,FALSE
48,Richardson Ridge,48,2024-08-14 01:00:00,2024-08-14 01:00:00,FALSE
49,Parker Place,49,2024-08-14 02:00:00,2024-08-14 02:00:00,FALSE
50,Brooks Bungalow,50,2024-08-14 03:00:00,2024-08-14 03:00:00,FALSE
