household_ingredient_id,household_id,ingredient_id,quantity,unit,expiration_date,is_expired
1,1,1,500,g,2022-12-10,FALSE
2,1,2,1.5,kg,2023-08-25,FALSE
3,1,3,2,l,2021-11-14,TRUE
4,1,4,0.3,kg,2023-06-01,FALSE
5,1,5,750,g,2024-01-20,FALSE
6,1,6,1.2,kg,2023-07-15,FALSE
7,1,7,250,g,2022-10-10,TRUE
8,1,8,1,l,2023-12-10,FALSE
9,1,9,100,unit,2023-03-15,FALSE
10,1,10,0.8,kg,2022-09-19,TRUE
11,2,11,0.5,kg,2024-03-29,FALSE
12,2,12,1.7,l,2023-01-15,FALSE
13,2,13,300,g,2022-04-01,TRUE
14,2,14,1.9,kg,2023-10-22,FALSE
15,2,15,1.3,kg,2023-06-30,FALSE
16,2,16,400,g,2023-08-05,FALSE
17,2,17,0.6,l,2022-11-14,TRUE
18,2,18,1.2,kg,2023-09-18,FALSE
19,2,19,100,unit,2023-07-09,FALSE
20,2,20,2.5,kg,2023-03-05,FALSE
21,3,21,500,g,2022-12-12,FALSE
22,3,22,1.5,kg,2023-08-26,FALSE
23,3,23,1.9,l,2021-11-10,TRUE
24,3,24,0.4,kg,2023-07-01,FALSE
25,3,25,650,g,2024-02-18,FALSE
26,3,26,1.3,kg,2023-08-13,FALSE
27,3,27,300,g,2022-09-09,TRUE
28,3,28,0.8,l,2023-11-22,FALSE
29,3,29,120,unit,2023-04-11,FALSE
30,3,30,1.0,kg,2022-10-19,TRUE
31,4,31,0.4,kg,2024-04-02,FALSE
32,4,32,1.8,l,2023-02-12,FALSE
33,4,33,350,g,2022-05-03,TRUE
34,4,34,2.1,kg,2023-11-20,FALSE
35,4,35,1.5,kg,2023-07-31,FALSE
36,4,36,450,g,2023-09-17,FALSE
37,4,37,0.7,l,2022-12-09,TRUE
38,4,38,1.3,kg,2023-10-23,FALSE
39,4,39,110,unit,2023-08-02,FALSE
40,4,40,2.7,kg,2023-04-05,FALSE
41,5,41,550,g,2022-11-12,FALSE
42,5,42,1.4,kg,2023-09-28,FALSE
43,5,43,1.7,l,2021-10-11,TRUE
44,5,44,0.5,kg,2023-06-22,FALSE
45,5,45,700,g,2024-01-15,FALSE
46,5,46,1.4,kg,2023-08-09,FALSE
47,5,47,320,g,2022-10-15,TRUE
48,5,48,1.1,l,2023-12-19,FALSE
49,5,49,90,unit,2023-03-28,FALSE
50,5,50,0.9,kg,2022-08-21,TRUE
51,6,51,480,g,2023-02-05,FALSE
52,6,52,1.3,kg,2023-01-10,FALSE
53,6,53,1.6,l,2022-12-07,TRUE
54,6,54,0.6,kg,2023-06-03,FALSE
55,6,55,600,g,2023-04-22,FALSE
56,6,56,1.1,kg,2023-08-28,FALSE
57,6,57,200,g,2023-09-14,FALSE
58,6,58,1.2,l,2023-12-01,FALSE
59,6,59,80,unit,2023-04-02,FALSE
60,6,60,0.7,kg,2022-09-07,TRUE
61,7,61,520,g,2023-01-28,FALSE
62,7,62,1.2,kg,2023-07-18,FALSE
63,7,63,1.8,l,2022-11-02,TRUE
64,7,64,0.4,kg,2023-05-12,FALSE
65,7,65,680,g,2023-03-21,FALSE
66,7,66,1.0,kg,2023-09-10,FALSE
67,7,67,280,g,2022-10-17,TRUE
68,7,68,0.9,l,2023-12-21,FALSE
69,7,69,100,unit,2023-03-10,FALSE
70,7,70,1.2,kg,2022-08-29,TRUE
71,8,71,550,g,2023-03-03,FALSE
72,8,72,1.5,kg,2023-02-08,FALSE
73,8,73,1.4,l,2022-12-03,TRUE
74,8,74,0.8,kg,2023-07-02,FALSE
75,8,75,710,g,2023-04-30,FALSE
76,8,76,1.2,kg,2023-09-29,FALSE
77,8,77,320,g,2023-10-19,FALSE
78,8,78,1.3,l,2023-12-08,FALSE
79,8,79,70,unit,2023-04-20,FALSE
80,8,80,0.8,kg,2022-09-09,TRUE
81,9,81,490,g,2023-04-16,FALSE
82,9,82,1.3,kg,2023-01-23,FALSE
83,9,83,1.9,l,2022-11-21,TRUE
84,9,84,0.7,kg,2023-05-18,FALSE
85,9,85,670,g,2023-02-14,FALSE
86,9,86,1.0,kg,2023-08-16,FALSE
87,9,87,260,g,2022-10-29,TRUE
88,9,88,0.6,l,2023-12-28,FALSE
89,9,89,95,unit,2023-03-30,FALSE
90,9,90,0.9,kg,2022-09-25,TRUE
91,10,91,530,g,2023-02-12,FALSE
92,10,92,1.2,kg,2023-07-07,FALSE
93,10,93,1.5,l,2022-12-02,TRUE
94,10,94,0.3,kg,2023-06-29,FALSE
95,10,95,650,g,2023-04-15,FALSE
96,10,96,1.1,kg,2023-09-01,FALSE
97,10,97,290,g,2023-10-08,FALSE
98,10,98,1.0,l,2023-12-15,FALSE
99,10,99,85,unit,2023-04-18,FALSE
100,10,100,0.7,kg,2022-09-19,TRUE
101,1,101,750,g,2022-11-30,FALSE
102,1,102,1.4,kg,2023-05-19,FALSE
103,1,103,0.9,l,2022-12-15,FALSE
104,1,104,0.5,kg,2023-04-30,FALSE
105,1,105,500,g,2023-08-14,FALSE
106,1,106,1.6,kg,2023-07-27,FALSE
107,1,107,200,g,2023-01-17,FALSE
108,1,108,1.3,l,2023-09-25,FALSE
109,1,109,80,unit,2023-03-29,FALSE
110,1,110,0.6,kg,2022-08-22,TRUE
111,2,111,600,g,2022-12-12,FALSE
112,2,112,1.3,kg,2023-01-08,FALSE
113,2,113,1.8,l,2023-10-21,FALSE
114,2,114,0.7,kg,2022-11-11,FALSE
115,2,115,550,g,2023-05-10,FALSE
116,2,116,1.2,kg,2023-07-02,FALSE
117,2,117,250,g,2023-03-14,FALSE
118,2,118,1.4,l,2023-09-18,FALSE
119,2,119,90,unit,2023-02-19,FALSE
120,2,120,0.8,kg,2022-09-20,TRUE
121,3,121,450,g,2023-02-03,FALSE
122,3,122,1.5,kg,2023-08-13,FALSE
123,3,123,1.7,l,2022-10-17,FALSE
124,3,124,0.6,kg,2023-06-28,FALSE
125,3,125,500,g,2023-04-01,FALSE
126,3,126,1.3,kg,2023-09-21,FALSE
127,3,127,300,g,2023-01-30,FALSE
128,3,128,1.1,l,2023-11-29,FALSE
129,3,129,85,unit,2023-05-20,FALSE
130,3,130,0.7,kg,2022-08-21,TRUE
131,4,131,580,g,2022-11-17,FALSE
132,4,132,1.4,kg,2023-02-11,FALSE
133,4,133,1.9,l,2023-10-09,FALSE
134,4,134,0.5,kg,2022-10-31,FALSE
135,4,135,520,g,2023-03-03,FALSE
136,4,136,1.6,kg,2023-08-05,FALSE
137,4,137,220,g,2023-09-17,FALSE
138,4,138,1.2,l,2023-12-01,FALSE
139,4,139,75,unit,2023-04-13,FALSE
