household_user_id,household_id,user_id,role
1,1,1,Owner
2,1,2,Member
3,2,3,Owner
4,3,4,Owner
5,3,5,Member
6,4,6,Owner
7,4,7,Member
8,5,8,Owner
9,5,9,Member
10,6,10,Owner
11,6,11,Member
12,7,12,Owner
13,7,13,Member
14,8,14,Owner
15,9,15,Owner
16,9,16,Member
17,10,17,Owner
18,11,18,Owner
19,11,19,Member
20,12,20,Owner
21,13,21,Owner
22,14,22,Owner
23,15,23,Owner
24,15,24,Member
25,16,25,Owner
26,17,26,Owner
27,18,27,Owner
28,18,28,Member
29,19,29,Owner
30,20,30,Owner
31,21,31,Owner
32,22,32,Owner
33,23,33,Owner
34,24,34,Owner
35,25,35,Owner
36,26,36,Owner
37,27,37,Owner
38,28,38,Owner
39,28,39,Member
40,29,40,Owner
41,30,41,Owner
42,31,42,Owner
43,32,43,Owner
44,33,44,Owner
45,34,45,Owner
46,35,46,Owner
47,36,47,Owner
48,37,48,Owner
49,38,49,Owner
50,39,50,Owner
