category_id,category_name,parent_category_id
1,Vegetables,NULL
2,Fruits,NULL
3,Grains,NULL
4,Spices,NULL
5,Dairy,NULL
6,Meat,NULL
7,Seafood,NULL
8,Poultry,NULL
9,Legumes,NULL
10,Oils,NULL
11,Nuts,NULL
12,Condiments,NULL
13,Beverages,NULL
14,Sweets,NULL
15,Breads,NULL
16,Herbs,NULL
17,Sauces,NULL
18,Dry Fruits,NULL
19,Pulses,NULL
20,Rice,3
21,Wheat,3
22,Indian Spices,4
23,Chinese Spices,4
24,Mexican Spices,4
25,Italian Spices,4
26,American Spices,4
27,Butter,5
28,Cheese,5
29,Yogurt,5
30,Paneer,5
31,Milk,5
32,Ghee,5
33,Chicken,8
34,Mutton,6
35,Beef,6
36,Pork,6
37,Lamb,6
38,Fish,7
39,Shrimp,7
40,Crab,7
41,Lobster,7
42,Tuna,7
43,Salmon,7
44,Eggs,8
45,Beans,9
46,Lentils,9
47,Chickpeas,9
48,Peas,9
49,Olive Oil,10
50,Sesame Oil,10
51,Peanut Oil,10
52,Sunflower Oil,10
53,Mustard Oil,10
54,Cashews,11
55,Almonds,11
56,Peanuts,11
57,Walnuts,11
58,Honey,12
59,Sugar,12
60,Soy Sauce,17
61,Oyster Sauce,17
62,Tomato Sauce,17
63,Barbecue Sauce,17
64,Hot Sauce,17
65,Mint,16
66,Basil,16
67,Cilantro,16
68,Parsley,16
69,Thyme,16
70,Rosemary,16
71,Oregano,16
72,Bay Leaves,16
73,Ginger,22
74,Garlic,22
75,Cinnamon,22
76,Cardamom,22
77,Cloves,22
78,Cumin,22
79,Coriander,22
80,Turmeric,22
81,Fennel,22
82,Chili Powder,22
83,Asafoetida,22
84,Star Anise,23
85,Sichuan Peppercorn,23
86,Five-Spice Powder,23
87,Ginger,23
88,Garlic,23
89,Cumin,24
90,Coriander,24
91,Chili Powder,24
92,Oregano,25
93,Basil,25
94,Parsley,25
95,Thyme,25
96,Bay Leaves,25
97,Saffron,25
98,Black Pepper,26
99,Paprika,26
100,Bay Leaves,26
101,Broccoli,1
102,Bell Peppers,1
103,Carrots,1
104,Potatoes,1
105,Onions,1
106,Tomatoes,1
107,Spinach,1
108,Lettuce,1
109,Cabbage,1
110,Apples,2
111,Bananas,2
112,Grapes,2
113,Oranges,2
114,Lemons,2
115,Limes,2
116,Mangoes,2
117,Pineapple,2
118,Avocado,2
119,Coconut,2
120,Rice,20
121,Whole Wheat,21
122,Basmati Rice,20
123,Jasmine Rice,20
124,Quinoa,3
125,Pasta,3
126,Tortilla,3
127,Naan,15
128,Chapati,15
129,Paratha,15
130,Corn Tortilla,15
131,Flour Tortilla,15
132,Baguette,15
133,Sourdough Bread,15
134,Croissant,15
135,Chicken Tikka,14
136,Samosa,14
137,Paneer Butter Masala,14
138,Butter Chicken,14
139,Falafel,14
140,Tacos,14
141,Enchiladas,14
142,Burritos,14
143,Quesadilla,14
144,Pizza,14
145,Pasta,14
146,Lasagna,14
147,Fettuccine Alfredo,14
148,Spaghetti,14
149,Fried Rice,14
150,Chow Mein,14
151,Dumplings,14
152,Spring Rolls,14
153,Kung Pao Chicken,14
154,General Tso's Chicken,14
155,Orange Chicken,14
156,Hot and Sour Soup,14
157,Dim Sum,14
158,Sushi,14
159,Sashimi,14
160,Miso Soup,14
161,Ramen,14
162,Udon,14
163,Tonkatsu,14
164,Tempura,14
165,Beef Jerky,14
166,Barbecue Ribs,14
167,Grilled Steak,14
168,Fried Chicken,14
169,Biscuits and Gravy,14
170,Macaroni and Cheese,14
171,Cheeseburger,14
172,Hot Dog,14
173,Apple Pie,14
174,Chocolate Chip Cookies,14
175,Brownies,14
176,Pancakes,14
177,Waffles,14
178,Ice Cream,14
179,Milkshake,14
180,Doughnut,14
181,Ajwain Seeds,22
182,Amchur Powder,22
183,Anardana (Dried Pomegranate Seeds),22
184,Aniseed,22
185,Asafoetida,22
186,Besan (Chickpea Flour),3
187,Bhindi (Okra),1
188,Bhutta (Corn),1
189,Biryani Masala,22
190,Black Cardamom,22
191,Black Mustard Seeds,22
192,Bottle Gourd,1
193,Chana Dal,19
194,Channa (Chickpeas),19
195,Chhena (Fresh Paneer),30
196,Chironji (Cuddapah Almond),11
197,Chironji Seeds,11
198,Coconut Milk,5
199,Colocasia (Arbi),1
200,Coriander Powder,22
201,Cucumber Seeds,11
202,Curry Leaves,16
203,Dalchini (Cinnamon),22
204,Drumstick,1
205,Farali (Fasting) Flour,3
206,Fennel Seeds,22
207,Fenugreek Seeds,22
208,Fish Curry Masala,22
209,Garam Masala,22
210,Goat Meat,6
211,Godambi (Dried Mango Powder),22
212,Gondh (Edible Gum),11
