history_id,user_id,recipe_id,cooked_at
1,1,1,2023-01-10 18:00:00
2,1,2,2023-01-20 19:00:00
3,2,1,2023-02-05 20:00:00
4,2,2,2023-02-15 18:30:00
5,3,3,2023-03-10 18:00:00
6,3,4,2023-03-20 19:00:00
7,4,3,2023-04-05 20:00:00
8,4,4,2023-04-15 18:30:00
9,5,5,2023-05-10 18:00:00
10,5,6,2023-05-20 19:00:00
11,6,5,2023-06-05 20:00:00
12,6,6,2023-06-15 18:30:00
13,7,7,2023-07-10 18:00:00
14,7,8,2023-07-20 19:00:00
15,8,7,2023-08-05 20:00:00
16,8,8,2023-08-15 18:30:00
17,9,9,2023-09-10 18:00:00
18,9,10,2023-09-20 19:00:00
19,10,9,2023-10-05 20:00:00
20,10,10,2023-10-15 18:30:00
21,11,11,2023-11-10 18:00:00
22,11,12,2023-11-20 19:00:00
23,12,11,2023-12-05 20:00:00
24,12,12,2023-12-15 18:30:00
25,13,13,2024-01-10 18:00:00
26,13,14,2024-01-20 19:00:00
27,14,13,2024-02-05 20:00:00
28,14,14,2024-02-15 18:30:00
29,15,15,2024-03-10 18:00:00
30,15,16,2024-03-20 19:00:00
31,16,15,2024-04-05 20:00:00
32,16,16,2024-04-15 18:30:00
33,17,17,2024-05-10 18:00:00
34,17,18,2024-05-20 19:00:00
35,18,17,2024-06-05 20:00:00
36,18,18,2024-06-15 18:30:00
37,19,19,2024-07-10 18:00:00
38,19,20,2024-07-20 19:00:00
39,20,19,2024-08-05 20:00:00
40,20,20,2024-08-15 18:30:00
41,21,21,2024-09-10 18:00:00
42,21,22,2024-09-20 19:00:00
43,22,21,2024-10-05 20:00:00
44,22,22,2024-10-15 18:30:00
45,23,23,2024-11-10 18:00:00
46,23,24,2024-11-20 19:00:00
47,24,23,2024-12-05 20:00:00
48,24,24,2024-12-15 18:30:00
49,25,25,2025-01-10 18:00:00
50,25,26,2025-01-20 19:00:00
51,26,25,2025-02-05 20:00:00
52,26,26,2025-02-15 18:30:00
53,27,27,2025-03-10 18:00:00
54,27,28,2025-03-20 19:00:00
55,28,27,2025-04-05 20:00:00
56,28,28,2025-04-15 18:30:00
57,29,29,2025-05-10 18:00:00
58,29,30,2025-05-20 19:00:00
59,30,29,2025-06-05 20:00:00
60,30,30,2025-06-15 18:30:00
61,31,31,2025-07-10 18:00:00
62,31,32,2025-07-20 19:00:00
63,32,31,2025-08-05 20:00:00
64,32,32,2025-08-15 18:30:00
65,33,33,2025-09-10 18:00:00
66,33,34,2025-09-20 19:00:00
67,34,33,2025-10-05 20:00:00
68,34,34,2025-10-15 18:30:00
69,35,35,2025-11-10 18:00:00
70,35,36,2025-11-20 19:00:00
71,36,35,2025-12-05 20:00:00
72,36,36,2025-12-15 18:30:00
73,37,37,2026-01-10 18:00:00
74,37,38,2026-01-20 19:00:00
75,38,37,2026-02-05 20:00:00
76,38,38,2026-02-15 18:30:00
77,39,39,2026-03-10 18:00:00
78,39,40,2026-03-20 19:00:00
79,40,39,2026-04-05 20:00:00
80,40,40,2026-04-15 18:30:00
81,41,41,2026-05-10 18:00:00
82,41,42,2026-05-20 19:00:00
83,42,41,2026-06-05 20:00:00
84,42,42,2026-06-15 18:30:00
85,43,43,2026-07-10 18:00:00
86,43,44,2026-07-20 19:00:00
87,44,43,2026-08-05 20:00:00
88,44,44,2026-08-15 18:30:00
89,45,45,2026-09-10 18:00:00
90,45,46,2026-09-20 19:00:00
91,46,45,2026-10-05 20:00:00
92,46,46,2026-10-15 18:30:00
93,47,47,2026-11-10 18:00:00
94,47,48,2026-11-20 19:00:00
95,48,47,2026-12-05 20:00:00
96,48,48,2026-12-15 18:30:00
97,49,49,2027-01-10 18:00:00
98,49,50,2027-01-20 19:00:00
99,50,49,2027-02-05 20:00:00
100,50,50,2027-02-15 18:30:00
101,51,51,2027-03-01 18:00:00
102,51,52,2027-03-05 19:00:00
103,52,51,2027-03-10 20:00:00
104,52,52,2027-03-15 18:30:00
105,53,53,2027-03-20 18:00:00
106,53,54,2027-03-25 19:00:00
107,54,53,2027-04-01 20:00:00
108,54,54,2027-04-05 18:30:00
109,55,55,2027-04-10 18:00:00
110,55,56,2027-04-15 19:00:00
111,56,55,2027-04-20 20:00:00
112,56,56,2027-04-25 18:30:00
113,57,57,2027-05-01 18:00:00
114,57,58,2027-05-05 19:00:00
115,58,57,2027-05-10 20:00:00
116,58,58,2027-05-15 18:30:00
117,59,59,2027-05-20 18:00:00
118,59,60,2027-05-25 19:00:00
119,60,59,2027-06-01 20:00:00
120,60,60,2027-06-05 18:30:00
121,61,61,2027-06-10 18:00:00
122,61,62,2027-06-15 19:00:00
123,62,61,2027-06-20 20:00:00
124,62,62,2027-06-25 18:30:00
125,63,63,2027-07-01 18:00:00
126,63,64,2027-07-05 19:00:00
127,64,63,2027-07-10 20:00:00
128,64,64,2027-07-15 18:30:00
129,65,65,2027-07-20 18:00:00
130,65,66,2027-07-25 19:00:00
131,66,65,2027-08-01 20:00:00
132,66,66,2027-08-05 18:30:00
133,67,67,2027-08-10 18:00:00
134,67,68,2027-08-15 19:00:00
135,68,67,2027-08-20 20:00:00
136,68,68,2027-08-25 18:30:00
137,69,69,2027-09-01 18:00:00
138,69,70,2027-09-05 19:00:00
139,70,69,2027-09-10 20:00:00
140,70,70,2027-09-15 18:30:00
141,71,71,2027-09-20 18:00:00
142,71,72,2027-09-25 19:00:00
143,72,71,2027-10-01 20:00:00
144,72,72,2027-10-05 18:30:00
145,73,73,2027-10-10 18:00:00
146,73,74,2027-10-15 19:00:00
147,74,73,2027-10-20 20:00:00
148,74,74,2027-10-25 18:30:00
149,75,75,2027-11-01 18:00:00
150,75,76,2027-11-05 19:00:00
151,76,75,2027-11-10 20:00:00
152,76,76,2027-11-15 18:30:00
153,77,77,2027-11-20 18:00:00
154,77,78,2027-11-25 19:00:00
155,78,77,2027-12-01 20:00:00
156,78,78,2027-12-05 18:30:00
157,79,79,2027-12-10 18:00:00
158,79,80,2027-12-15 19:00:00
159,80,79,2027-12-20 20:00:00
160,80,80,2027-12-25 18:30:00
161,81,81,2028-01-01 18:00:00
162,81,82,2028-01-05 19:00:00
163,82,81,2028-01-10 20:00:00
164,82,82,2028-01-15 18:30:00
165,83,83,2028-01-20 18:00:00
166,83,84,2028-01-25 19:00:00
167,84,83,2028-02-01 20:00:00
168,84,84,2028-02-05 18:30:00
169,85,85,2028-02-10 18:00:00
170,85,86,2028-02-15 19:00:00
171,86,85,2028-02-20 20:00:00
172,86,86,2028-02-25 18:30:00
173,87,87,2028-03-01 18:00:00
174,87,88,2028-03-05 19:00:00
175,88,87,2028-03-10 20:00:00
176,88,88,2028-03-15 18:30:00
177,89,89,2028-03-20 18:00:00
178,89,90,2028-03-25 19:00:00
179,90,89,2028-04-01 20:00:00
180,90,90,2028-04-05 18:30:00
181,91,91,2028-04-10 18:00:00
182,91,92,2028-04-15 19:00:00
183,92,91,2028-04-20 20:00:00
184,92,92,2028-04-25 18:30:00
185,93,93,2028-05-01 18:00:00
186,93,94,2028-05-05 19:00:00
187,94,93,2028-05-10 20:00:00
188,94,94,2028-05-15 18:30:00
189,95,95,2028-05-20 18:00:00
190,95,96,2028-05-25 19:00:00
191,96,95,2028-06-01 20:00:00
192,96,96,2028-06-05 18:30:00
193,97,97,2028-06-10 18:00:00
194,97,98,2028-06-15 19:00:00
195,98,97,2028-06-20 20:00:00
196,98,98,2028-06-25 18:30:00
197,99,99,2028-07-01 18:00:00
198,99,100,2028-07-05 19:00:00
199,100,99,2028-07-10 20:00:00
200,100,100,2028-07-15 18:30:00
